taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
43,Central Park,Manhattan,1464,73.87841530054645,76.40815980927745,13.294057476706593,19.963260179698864,0.900757799087077,35.108235586731276,36.28217050283063,2.529744508730996
44,Charleston/Tottenville,Staten Island,1464,0.0020491803278688526,0.0065363769401724095,0.008524639581040822,0.060058470546444885,-0.0574355478194819,97.91223144559169,199.98899196654955,0.004487196612303557
45,Chinatown,Manhattan,1464,13.408469945355192,13.490104470577132,3.662106299944962,4.951269670218937,0.7134199399223018,42.668050270523906,38.528766737422096,0.0816345252219421
46,City Island,Bronx,1464,0.08128415300546447,0.21067695836476083,0.2514014001747585,0.35288142512940623,-0.43178409512719806,73.88502870735121,194.33787996515923,0.12939280535929634
47,Claremont/Bathgate,Bronx,1464,1.1994535519125684,1.2536709622677862,0.9864656310970673,1.3401392096004734,0.15177143042259167,51.97434374916454,117.22123686408345,0.054217410355217904
48,Clinton East,Manhattan,1464,134.85928961748633,137.5162199292704,19.412957676137957,27.385962862430922,0.8597600378078551,16.997415657612176,15.689049590125386,2.6569303117840404
49,Clinton Hill,Brooklyn,1464,5.506147540983607,5.559356636487487,2.42524659402895,3.2767877312182736,0.4412634710734825,64.70560026515169,58.7302915594902,0.05320909550387969
50,Clinton West,Manhattan,1464,39.88592896174863,40.83943103740705,8.506009811778881,12.42970825201458,0.746088270985731,31.7983150247656,25.891892236749015,0.9535020756584169
51,Co-Op City,Bronx,1464,2.0655737704918034,1.8924874412044341,1.2572810366683351,1.7645316356372942,0.36423195881763093,55.82235913258569,96.67268291913042,-0.17308632928736897
52,Cobble Hill,Brooklyn,1464,2.258879781420765,2.3159239927408795,1.3570830761731965,1.882008005199338,0.34285937052848436,62.79229255206248,91.5106086301202,0.05704421132011478
53,College Point,Queens,1464,0.47882513661202186,0.6463869073079264,0.6750476427714467,0.8721682844345903,-0.18302382736382095,52.80778774752568,156.06045795222238,0.16756177069590458
54,Columbia Street,Brooklyn,1464,0.5976775956284153,0.7475887686735876,0.6910583814478078,0.9148986745987511,0.04265998605839738,52.91493188743708,148.65080376285346,0.14991117304517224
55,Coney Island,Brooklyn,1464,2.0614754098360657,2.1611549473218408,1.2479424436144653,1.7279024217111003,0.4095229659854105,61.48320525512939,99.4118670159754,0.09967953748577485
56,Corona,Queens,1464,1.4781420765027322,1.5347583825044822,1.1298982002148366,1.552447346514686,0.18159827457067268,55.40375164897389,106.2574894384154,0.05661630600174989
57,Corona,Queens,1464,0.09289617486338798,0.1965458130850608,0.2536990818510317,0.37961811310136095,-0.3238504556550872,79.30646960149708,194.75516408516583,0.10364963822167282
58,Country Club,Bronx,1464,0.09016393442622951,0.19654345717692445,0.24668872362489686,0.37201229713412265,-0.46712509471203445,77.72088727859986,194.52649613027174,0.10637952275069497
59,Crotona Park,Bronx,1464,0.031420765027322405,0.09715958114079298,0.12258707146060734,0.2134053321568881,-0.49643764162286175,90.4628759002263,198.98550340541726,0.06573881611347059
60,Crotona Park East,Bronx,1464,0.9965846994535519,1.0770757977727599,0.8622215838810585,1.1579005397636233,0.16081726869427837,49.15121453739587,122.61580256004143,0.08049109831920778
61,Crown Heights North,Brooklyn,1464,10.0198087431694,10.09088122964513,3.3409479086233675,4.545846600063006,0.5070884019328428,48.08574787376582,38.72256222599429,0.07107248647573013
62,Crown Heights South,Brooklyn,1464,2.8579234972677594,2.9122333433959793,1.5743279081463157,2.063563937316284,0.25787940598389025,63.19347700075397,73.84249478142978,0.05430984612821941
63,Cypress Hills,Brooklyn,1464,1.8060109289617485,1.8899163013817564,1.2547605411385963,1.7099735880934204,0.2847424219770266,58.7060269065505,97.37775769935931,0.08390537242000772
64,Douglaston,Queens,1464,0.19808743169398907,0.3777990377801223,0.4348428955334849,0.5544104703184669,-0.248052426924799,63.47804496250229,183.2793413089619,0.17971160608613324
65,Downtown Brooklyn/MetroTech,Brooklyn,1464,7.5853825136612025,7.686171047558755,2.8286433762049836,3.8780084045758154,0.5133642245665708,54.71806508310382,50.827872440999776,0.10078853389755342
66,DUMBO/Vinegar Hill,Brooklyn,1464,7.5969945355191255,7.606383020844819,2.670707958959916,3.8593115807128395,0.6363747446469921,50.41575295893929,56.119204381370444,0.009388485325693904
67,Dyker Heights,Brooklyn,1464,0.9665300546448088,1.1376730961106238,0.9265013911486167,1.367401002101306,0.3662565773361881,51.27711455649078,131.0691817308947,0.17114304146581513
68,East Chelsea,Manhattan,1464,144.7636612021858,148.97055139102196,20.273238234388575,27.80509094344664,0.9059161554199943,21.853834152356892,18.770938786789873,4.206890188836183
69,East Concourse/Concourse Village,Bronx,1464,2.490437158469945,2.325817057732358,1.4379755698398577,2.0074542664794084,0.3832515049748021,59.0239141551384,87.37640621818882,-0.16462010073758748
70,East Elmhurst,Queens,1464,12.813524590163935,13.131896632680572,4.650170144552995,6.502076488885576,0.5732013495392194,54.80678698825865,54.87311176786814,0.31837204251663737
71,East Flatbush/Farragut,Brooklyn,1464,3.043032786885246,3.1077591308682706,1.5211037222226196,2.0330402109010395,0.45171047127388875,59.44060504100088,74.77865538119649,0.06472634398302538
72,East Flatbush/Remsen Village,Brooklyn,1464,3.4262295081967213,3.4974958200419777,1.676815230995244,2.2826010650191164,0.46561480469240724,59.428730292135846,71.98819945965315,0.07126631184525616
73,East Flushing,Queens,1464,0.21174863387978143,0.4069278534486802,0.46351580747509713,0.5629530815686308,-0.37937965323858536,62.05284508935177,180.605034996316,0.19517921956889883
74,East Harlem North,Manhattan,1464,24.529371584699454,25.38294302382609,5.802204728741079,7.948353904891613,0.7090669866772399,30.826242054768816,27.095668763947533,0.8535714391266361
75,East Harlem South,Manhattan,1464,46.32786885245902,48.41797302144974,8.332615486980957,11.578676379615354,0.8525985083898029,26.88781746103091,23.22481221745172,2.090104168990722
76,East New York,Brooklyn,1464,6.865437158469946,6.967346088839909,2.716772147788315,3.709048509835986,0.533923935421718,59.28960467973358,53.897203125890506,0.10190893036996335
77,East New York/Pennsylvania Avenue,Brooklyn,1464,1.7527322404371584,1.8644646161653644,1.2136639388359918,1.618651779735164,0.24262267857003395,60.388786832128595,100.52641819849215,0.11173237572820627
